date_start,date_stop,account_id,account_name,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,spend,impressions,reach,clicks,ctr,cpc,cpm,follows,cost_per_follow,actions_raw,cost_per_action_type_raw,platform_position,publisher_platform,action__link_click,action__onsite_conversion.messaging_conversation_started_7d,action__onsite_conversion.messaging_first_reply,action__onsite_conversion.post_net_like,action__onsite_conversion.post_net_save,action__onsite_conversion.post_save,action__onsite_conversion.post_unlike,action__onsite_conversion.total_messaging_connection,action__page_engagement,action__post,action__post_engagement,action__post_interaction_gross,action__post_reaction,action__video_view,cost_per_action__link_click,cost_per_action__onsite_conversion.messaging_conversation_started_7d,cost_per_action__onsite_conversion.messaging_first_reply,cost_per_action__onsite_conversion.total_messaging_connection,cost_per_action__page_engagement,cost_per_action__post_engagement,cost_per_action__post_interaction_gross,cost_per_action__video_view
2026-03-08,2026-03-08,1379452680603809,TSSAds,6953786714157,2,6953786714957,Test - New Traffic Ad set with recommended settings,6953786714557,1,1.13,189,189,13,6.878307,0.086923,5.978836,0,,"[{""action_type"":""link_click"",""value"":""13""},{""action_type"":""page_engagement"",""value"":""91""},{""action_type"":""post_engagement"",""value"":""91""},{""action_type"":""post_interaction_gross"",""value"":""4""},{""action_type"":""post"",""value"":""1""},{""action_type"":""onsite_conversion.post_net_like"",""value"":""3""},{""action_type"":""video_view"",""value"":""74""},{""action_type"":""post_reaction"",""value"":""3""}]","[{""action_type"":""video_view"",""value"":""0.01527""},{""action_type"":""link_click"",""value"":""0.086923""},{""action_type"":""post_interaction_gross"",""value"":""0.2825""},{""action_type"":""post_engagement"",""value"":""0.012418""},{""action_type"":""page_engagement"",""value"":""0.012418""}]",instagram_reels,instagram,13.0,,,3.0,,,,,91.0,1.0,91.0,4.0,3.0,74.0,0.086923,,,,0.012418,0.012418,0.2825,0.01527
2026-03-08,2026-03-08,1379452680603809,TSSAds,6953786714157,2,6953786714957,Test - New Traffic Ad set with recommended settings,6953786714557,1,0.19,21,21,1,4.761905,0.19,9.047619,0,,"[{""action_type"":""link_click"",""value"":""1""},{""action_type"":""page_engagement"",""value"":""12""},{""action_type"":""post_engagement"",""value"":""12""},{""action_type"":""video_view"",""value"":""11""}]","[{""action_type"":""video_view"",""value"":""0.017273""},{""action_type"":""link_click"",""value"":""0.19""},{""action_type"":""post_engagement"",""value"":""0.015833""},{""action_type"":""page_engagement"",""value"":""0.015833""}]",instagram_stories,instagram,1.0,,,,,,,,12.0,,12.0,,,11.0,0.19,,,,0.015833,0.015833,,0.017273
2026-03-09,2026-03-09,1379452680603809,TSSAds,6951024653957,1,6951024653757,New Traffic Ad set with recommended settings,6951024654157,1,1.33,187,187,4,2.139037,0.3325,7.112299,0,,"[{""action_type"":""link_click"",""value"":""4""},{""action_type"":""page_engagement"",""value"":""98""},{""action_type"":""post_engagement"",""value"":""98""},{""action_type"":""post_interaction_gross"",""value"":""8""},{""action_type"":""post"",""value"":""2""},{""action_type"":""onsite_conversion.post_save"",""value"":""1""},{""action_type"":""onsite_conversion.post_net_like"",""value"":""5""},{""action_type"":""onsite_conversion.post_net_save"",""value"":""1""},{""action_type"":""video_view"",""value"":""86""},{""action_type"":""post_reaction"",""value"":""5""}]","[{""action_type"":""video_view"",""value"":""0.015465""},{""action_type"":""link_click"",""value"":""0.3325""},{""action_type"":""post_interaction_gross"",""value"":""0.16625""},{""action_type"":""post_engagement"",""value"":""0.013571""},{""action_type"":""page_engagement"",""value"":""0.013571""}]",feed,instagram,4.0,,,5.0,1.0,1.0,,,98.0,2.0,98.0,8.0,5.0,86.0,0.3325,,,,0.013571,0.013571,0.16625,0.015465
2026-03-09,2026-03-09,1379452680603809,TSSAds,6951024653957,1,6951024653757,New Traffic Ad set with recommended settings,6951024654157,1,4.73,767,767,43,5.606258,0.11,6.166884,0,,"[{""action_type"":""link_click"",""value"":""42""},{""action_type"":""page_engagement"",""value"":""339""},{""action_type"":""post_engagement"",""value"":""339""},{""action_type"":""post_interaction_gross"",""value"":""12""},{""action_type"":""post"",""value"":""2""},{""action_type"":""onsite_conversion.post_net_like"",""value"":""10""},{""action_type"":""video_view"",""value"":""285""},{""action_type"":""post_reaction"",""value"":""10""}]","[{""action_type"":""video_view"",""value"":""0.016596""},{""action_type"":""link_click"",""value"":""0.112619""},{""action_type"":""post_interaction_gross"",""value"":""0.394167""},{""action_type"":""post_engagement"",""value"":""0.013953""},{""action_type"":""page_engagement"",""value"":""0.013953""}]",instagram_reels,instagram,42.0,,,10.0,,,,,339.0,2.0,339.0,12.0,10.0,285.0,0.112619,,,,0.013953,0.013953,0.394167,0.016596
2026-03-09,2026-03-09,1379452680603809,TSSAds,6951024653957,1,6951024653757,New Traffic Ad set with recommended settings,6951024654157,1,0.19,24,24,1,4.166667,0.19,7.916667,0,,"[{""action_type"":""link_click"",""value"":""1""},{""action_type"":""page_engagement"",""value"":""5""},{""action_type"":""post_engagement"",""value"":""5""},{""action_type"":""video_view"",""value"":""4""}]","[{""action_type"":""video_view"",""value"":""0.0475""},{""action_type"":""link_click"",""value"":""0.19""},{""action_type"":""post_engagement"",""value"":""0.038""},{""action_type"":""page_engagement"",""value"":""0.038""}]",instagram_stories,instagram,1.0,,,,,,,,5.0,,5.0,,,4.0,0.19,,,,0.038,0.038,,0.0475
2026-03-09,2026-03-09,1379452680603809,TSSAds,6951024653957,1,6953785406157,Test - New Traffic Ad set with recommended settings,6953785406357,1,1.44,200,199,11,5.5,0.130909,7.2,0,,"[{""action_type"":""link_click"",""value"":""11""},{""action_type"":""page_engagement"",""value"":""107""},{""action_type"":""post_engagement"",""value"":""107""},{""action_type"":""post_interaction_gross"",""value"":""6""},{""action_type"":""post"",""value"":""2""},{""action_type"":""onsite_conversion.post_save"",""value"":""2""},{""action_type"":""onsite_conversion.post_net_like"",""value"":""2""},{""action_type"":""onsite_conversion.post_net_save"",""value"":""2""},{""action_type"":""video_view"",""value"":""90""},{""action_type"":""post_reaction"",""value"":""2""}]","[{""action_type"":""video_view"",""value"":""0.016""},{""action_type"":""link_click"",""value"":""0.130909""},{""action_type"":""post_interaction_gross"",""value"":""0.24""},{""action_type"":""post_engagement"",""value"":""0.013458""},{""action_type"":""page_engagement"",""value"":""0.013458""}]",feed,instagram,11.0,,,2.0,2.0,2.0,,,107.0,2.0,107.0,6.0,2.0,90.0,0.130909,,,,0.013458,0.013458,0.24,0.016
2026-03-09,2026-03-09,1379452680603809,TSSAds,6951024653957,1,6953785406157,Test - New Traffic Ad set with recommended settings,6953785406357,1,5,816,816,66,8.088235,0.075758,6.127451,0,,"[{""action_type"":""link_click"",""value"":""66""},{""action_type"":""page_engagement"",""value"":""427""},{""action_type"":""onsite_conversion.post_unlike"",""value"":""1""},{""action_type"":""post_engagement"",""value"":""427""},{""action_type"":""post_interaction_gross"",""value"":""23""},{""action_type"":""post"",""value"":""2""},{""action_type"":""onsite_conversion.post_save"",""value"":""1""},{""action_type"":""onsite_conversion.post_net_like"",""value"":""19""},{""action_type"":""onsite_conversion.post_net_save"",""value"":""1""},{""action_type"":""video_view"",""value"":""338""},{""action_type"":""post_reaction"",""value"":""20""}]","[{""action_type"":""video_view"",""value"":""0.014793""},{""action_type"":""link_click"",""value"":""0.075758""},{""action_type"":""post_interaction_gross"",""value"":""0.217391""},{""action_type"":""post_engagement"",""value"":""0.01171""},{""action_type"":""page_engagement"",""value"":""0.01171""}]",instagram_reels,instagram,66.0,,,19.0,1.0,1.0,1.0,,427.0,2.0,427.0,23.0,20.0,338.0,0.075758,,,,0.01171,0.01171,0.217391,0.014793
2026-03-09,2026-03-09,1379452680603809,TSSAds,6951024653957,1,6953785406157,Test - New Traffic Ad set with recommended settings,6953785406357,1,0.21,23,23,2,8.695652,0.105,9.130435,0,,"[{""action_type"":""link_click"",""value"":""2""},{""action_type"":""page_engagement"",""value"":""8""},{""action_type"":""post_engagement"",""value"":""8""},{""action_type"":""video_view"",""value"":""6""}]","[{""action_type"":""video_view"",""value"":""0.035""},{""action_type"":""link_click"",""value"":""0.105""},{""action_type"":""post_engagement"",""value"":""0.02625""},{""action_type"":""page_engagement"",""value"":""0.02625""}]",instagram_stories,instagram,2.0,,,,,,,,8.0,,8.0,,,6.0,0.105,,,,0.02625,0.02625,,0.035
2026-03-09,2026-03-09,1379452680603809,TSSAds,6953786714157,2,6953786714757,New Traffic Ad set with recommended settings,6953786714357,1,1.35,187,181,5,2.673797,0.27,7.219251,0,,"[{""action_type"":""link_click"",""value"":""5""},{""action_type"":""page_engagement"",""value"":""90""},{""action_type"":""post_engagement"",""value"":""90""},{""action_type"":""post_interaction_gross"",""value"":""2""},{""action_type"":""post"",""value"":""1""},{""action_type"":""onsite_conversion.post_net_like"",""value"":""1""},{""action_type"":""video_view"",""value"":""83""},{""action_type"":""post_reaction"",""value"":""1""}]","[{""action_type"":""video_view"",""value"":""0.016265""},{""action_type"":""link_click"",""value"":""0.27""},{""action_type"":""post_interaction_gross"",""value"":""0.675""},{""action_type"":""post_engagement"",""value"":""0.015""},{""action_type"":""page_engagement"",""value"":""0.015""}]",feed,instagram,5.0,,,1.0,,,,,90.0,1.0,90.0,2.0,1.0,83.0,0.27,,,,0.015,0.015,0.675,0.016265
2026-03-09,2026-03-09,1379452680603809,TSSAds,6953786714157,2,6953786714757,New Traffic Ad set with recommended settings,6953786714357,1,3.2,512,512,14,2.734375,0.228571,6.25,0,,"[{""action_type"":""link_click"",""value"":""14""},{""action_type"":""page_engagement"",""value"":""204""},{""action_type"":""onsite_conversion.post_unlike"",""value"":""1""},{""action_type"":""post_engagement"",""value"":""204""},{""action_type"":""post_interaction_gross"",""value"":""8""},{""action_type"":""post"",""value"":""3""},{""action_type"":""onsite_conversion.post_net_like"",""value"":""4""},{""action_type"":""video_view"",""value"":""182""},{""action_type"":""post_reaction"",""value"":""5""}]","[{""action_type"":""video_view"",""value"":""0.017582""},{""action_type"":""link_click"",""value"":""0.228571""},{""action_type"":""post_interaction_gross"",""value"":""0.4""},{""action_type"":""post_engagement"",""value"":""0.015686""},{""action_type"":""page_engagement"",""value"":""0.015686""}]",instagram_reels,instagram,14.0,,,4.0,,,1.0,,204.0,3.0,204.0,8.0,5.0,182.0,0.228571,,,,0.015686,0.015686,0.4,0.017582
