media_id,permalink,media_type,timestamp,caption,media_url_available,download_status,local_path,media_product_type,username
17863768086417259,https://www.instagram.com/reel/DPfQgP2EoSu/,VIDEO,2025-10-07T00:49:07+0000,"Can you tell which song was made by AI and which was made by a human?
Last week at The Social Study, @roseqsun from UC San Diego tested our ears—and most of us got it wrong.
Listen closely, then comment A or B, and why.

Answer is: A is AI

#thesocialstudy #sandiegoevents #orangecountyevents #ucsd #aimusic",True,downloaded_exists,exports/instagram/thesocial.study/reels/media/17863768086417259.mp4,REELS,thesocial.study
18041285615425470,https://www.instagram.com/reel/DOzH2jUEjjy/,VIDEO,2025-09-19T21:26:26+0000,"Your annual checkup is about to change forever.

At The Social Study, Dr. Mini Manchanda showed us how AI is collapsing decades of medical research into milliseconds.

Miss a night, miss the future.

Comment STUDY and I’ll send you the link before tickets sell out.",True,downloaded_exists,exports/instagram/thesocial.study/reels/media/18041285615425470.mp4,REELS,thesocial.study
18053644076630230,https://www.instagram.com/reel/DOZe1J7Ejbl/,VIDEO,2025-09-09T22:25:25+0000,"Last week marked our 10th event. 

We are still in our infancy stage but have been overwhelmed by the love and support of this community. 

Thank you all so much and we look forward to all the events we have planned. 💕",True,downloaded_exists,exports/instagram/thesocial.study/reels/media/18053644076630230.mp4,REELS,thesocial.study
17937047811077124,https://www.instagram.com/reel/DOUnlboD2pj/,VIDEO,2025-09-08T01:07:00+0000,"Professors, researchers, and storytellers in your favorite local bars. Big ideas, good company, and a cold drink in hand. Happening in San Diego and Orange County. Tickets go live every Sunday.",True,downloaded_exists,exports/instagram/thesocial.study/reels/media/17937047811077124.mp4,REELS,thesocial.study
18059940011369544,https://www.instagram.com/reel/DN6jGMgkquz/,VIDEO,2025-08-28T22:06:24+0000,"This week we learned about microplastics with Dr. Dimitri Deheyn, a researcher at Scripps Oceanography.

🌬 Humans breathe about 10,000 liters of air a day. Along with it come 150 to 200 plastic particles.
🐋 Whale sharks filter 40,000 liters of seawater daily just to eat. Thousands of particles flow through them.
💧 More than 90% of drinking water tested contains microplastics.
👗 Ghana’s Kantamanto Market receives 15 million secondhand garments every week. About 40% become waste, overwhelming landfills and beaches. Locals call it “waste colonialism.”
🧴 Some cosmetics still contain microbeads. They’re banned in the U.S., but imports can slip through.

Minutes of use. Centuries of impact.

Big ideas. Cutting-edge research. The Social Study.

In #sandiego — coming soon to #orangecounty.
🎟 Tickets drop every Sunday at 10am. Be ready.",True,downloaded_exists,exports/instagram/thesocial.study/reels/media/18059940011369544.mp4,REELS,thesocial.study
17861890581396672,https://www.instagram.com/reel/DNjlABQyHe2/,VIDEO,2025-08-20T00:01:01+0000,"Champions clean up. The All Blacks call it “sweep the sheds.” Reed Maltbie showed us why character shows up in the details and how a “No Dickheads” mentality changes teams, communities, and the person in the mirror.

#SanDiego #SanDiegoEvents #OrangeCounty #OC#thesocialstudy #",True,downloaded_exists,exports/instagram/thesocial.study/reels/media/17861890581396672.mp4,REELS,thesocial.study
18513628441013932,https://www.instagram.com/reel/DNjkftaRjSA/,VIDEO,2025-08-19T23:56:28+0000,"Champions clean up. The All Blacks call it “sweep the sheds.” Reed Maltbie showed us why character shows up in the details and how a “No Dickheads” mentality changes teams, communities, and the person in the mirror.

#SanDiego #SanDiegoEvents #OrangeCounty #OC",True,downloaded_exists,exports/instagram/thesocial.study/reels/media/18513628441013932.mp4,REELS,thesocial.study
18063652967016495,https://www.instagram.com/reel/DNjOYr5RPa0/,VIDEO,2025-08-19T20:43:02+0000,Reed Maltbie explaining the No Dickheads policy of the all blacks at our most recent talk at Mike Hess!,True,downloaded_exists,exports/instagram/thesocial.study/reels/media/18063652967016495.mp4,REELS,thesocial.study
18073213910289654,https://www.instagram.com/reel/DNY7nd_xpEJ/,VIDEO,2025-08-15T20:46:38+0000,"OC, we’re almost here!

This October, The Social Study is bringing great drinks, good company, and fascinating talks from industry experts with ideas worth sharing.

Follow along to see which local spots we’ll be bringing to life on weeknights!

We’re also looking for an MC to help run events, welcome guests, and keep the night flowing smoothly.

If that’s you, the form’s on our site—come be part of the fun!

#orangecounty #ocevents #costamesa #huntingtonbeach #newportbeach #irvine #thesocialstudy #socalevents #thingstodoinoc",True,downloaded_exists,exports/instagram/thesocial.study/reels/media/18073213910289654.mp4,REELS,thesocial.study
18053135474527448,https://www.instagram.com/reel/DMlBSA6xNcY/,VIDEO,2025-07-26T16:55:08+0000,"This week we learned about Nathan Harrison, San Diego’s first Black homesteader. Born enslaved in Kentucky in the 1830s, freed during the Gold Rush, and buried in an unmarked grave in Mount Hope Cemetery. He spoke Luiseno, Spanish, and English. He gifted water to travelers instead of selling it. He built alliances with both Native and settler communities. And he played into tourist expectations because it kept him alive.

That’s what The Social Study is about. Real research, surprising insights, and topics you probably didn’t cover in school.

Tickets go up every Sunday at 10am. Be ready.",True,downloaded_exists,exports/instagram/thesocial.study/reels/media/18053135474527448.mp4,REELS,thesocial.study
